,precision,recall,f1-score,support
Ferrari 458 Italia Coupe 2012,0.9090909090909091,0.9411764705882353,0.9248554913294799,85.0
Fisker Karma Sedan 2012,0.9444444444444444,0.9770114942528736,0.96045197740113,87.0
Ford F-450 Super Duty Crew Cab 2012,1.0,0.9759036144578314,0.9878048780487805,83.0
Ford Mustang Convertible 2007,0.9529411764705882,0.9101123595505618,0.9310344827586207,89.0
Ford Freestar Minivan 2007,0.946236559139785,1.0,0.9723756906077349,88.0
Ford Expedition EL SUV 2009,0.9775280898876404,0.9775280898876404,0.9775280898876404,89.0
Ford Edge SUV 2012,0.9878048780487805,0.9418604651162791,0.9642857142857143,86.0
Ford Ranger SuperCab 2011,0.9878048780487805,0.9642857142857143,0.9759036144578312,84.0
Ford GT Coupe 2006,0.9361702127659575,0.967032967032967,0.9513513513513513,91.0
Ford F-150 Regular Cab 2012,1.0,0.9882352941176471,0.9940828402366864,85.0
Ford F-150 Regular Cab 2007,0.9239130434782609,0.9444444444444444,0.934065934065934,90.0
Ford Focus Sedan 2007,0.8673469387755102,0.9444444444444444,0.9042553191489361,90.0
Ford E-Series Wagon Van 2012,1.0,0.9733333333333334,0.9864864864864865,75.0
Ford Fiesta Sedan 2012,0.9642857142857143,0.9529411764705882,0.9585798816568047,85.0
GMC Terrain SUV 2012,0.9294117647058824,0.9518072289156626,0.9404761904761904,83.0
GMC Savana Van 2012,0.898876404494382,0.975609756097561,0.935672514619883,82.0
GMC Yukon Hybrid SUV 2012,0.9629629629629629,0.9176470588235294,0.9397590361445782,85.0
GMC Acadia SUV 2012,0.9529411764705882,0.9101123595505618,0.9310344827586207,89.0
GMC Canyon Extended Cab 2012,1.0,0.875,0.9333333333333333,80.0
Geo Metro Convertible 1993,1.0,0.9775280898876404,0.9886363636363636,89.0
HUMMER H3T Crew Cab 2010,0.9615384615384616,0.9615384615384616,0.9615384615384616,78.0
HUMMER H2 SUT Crew Cab 2009,0.9764705882352941,0.9540229885057471,0.9651162790697674,87.0
Honda Odyssey Minivan 2012,0.9325842696629213,0.9880952380952381,0.9595375722543353,84.0
Honda Odyssey Minivan 2007,0.9634146341463414,0.9634146341463414,0.9634146341463414,82.0
Honda Accord Coupe 2012,0.9166666666666666,0.8461538461538461,0.8799999999999999,78.0
Honda Accord Sedan 2012,0.8918918918918919,0.8571428571428571,0.8741721854304636,77.0
Hyundai Veloster Hatchback 2012,0.9302325581395349,0.975609756097561,0.9523809523809524,82.0
Hyundai Santa Fe SUV 2012,0.9651162790697675,0.9880952380952381,0.9764705882352942,84.0
Hyundai Tucson SUV 2012,0.9651162790697675,0.9540229885057471,0.9595375722543352,87.0
Hyundai Veracruz SUV 2012,0.9493670886075949,0.8928571428571429,0.920245398773006,84.0
Hyundai Sonata Hybrid Sedan 2012,0.9285714285714286,0.9701492537313433,0.948905109489051,67.0
Hyundai Elantra Sedan 2007,0.896551724137931,0.9285714285714286,0.912280701754386,84.0
Hyundai Accent Sedan 2012,0.9333333333333333,0.875,0.9032258064516129,48.0
Hyundai Genesis Sedan 2012,0.9418604651162791,0.9310344827586207,0.9364161849710984,87.0
Hyundai Sonata Sedan 2012,0.9743589743589743,0.9620253164556962,0.9681528662420382,79.0
Hyundai Elantra Touring Hatchback 2012,0.9518072289156626,0.9294117647058824,0.9404761904761904,85.0
Hyundai Azera Sedan 2012,0.9876543209876543,0.9523809523809523,0.9696969696969696,84.0
Infiniti G Coupe IPL 2012,0.9315068493150684,1.0,0.9645390070921985,68.0
Infiniti QX56 SUV 2011,0.9696969696969697,0.9846153846153847,0.9770992366412214,65.0
Isuzu Ascender SUV 2008,0.9866666666666667,0.925,0.9548387096774195,80.0
Jaguar XK XKR 2012,0.9310344827586207,0.8709677419354839,0.9,93.0
Jeep Patriot SUV 2012,0.9655172413793104,0.9545454545454546,0.96,88.0
Jeep Wrangler SUV 2012,1.0,0.9651162790697675,0.9822485207100593,86.0
Jeep Liberty SUV 2012,0.9456521739130435,0.9775280898876404,0.9613259668508287,89.0
Jeep Grand Cherokee SUV 2012,0.9523809523809523,0.8888888888888888,0.9195402298850575,90.0
Jeep Compass SUV 2012,0.9647058823529412,0.9647058823529412,0.9647058823529412,85.0
Lamborghini Reventon Coupe 2008,0.9859154929577465,0.9722222222222222,0.979020979020979,72.0
Lamborghini Aventador Coupe 2012,0.9550561797752809,0.9770114942528736,0.9659090909090908,87.0
Lamborghini Gallardo LP 570-4 Superleggera 2012,1.0,0.971830985915493,0.9857142857142858,71.0
Lamborghini Diablo Coupe 2001,0.967032967032967,0.9887640449438202,0.9777777777777779,89.0
Land Rover Range Rover SUV 2012,0.9438202247191011,0.9882352941176471,0.9655172413793103,85.0
Land Rover LR2 SUV 2012,0.9647058823529412,0.9647058823529412,0.9647058823529412,85.0
Lincoln Town Car Sedan 2011,0.9868421052631579,0.9615384615384616,0.974025974025974,78.0
MINI Cooper Roadster Convertible 2012,0.9722222222222222,0.958904109589041,0.9655172413793104,73.0
Maybach Landaulet Convertible 2012,0.9830508474576272,1.0,0.9914529914529915,58.0
Mazda Tribute SUV 2011,0.9722222222222222,0.9722222222222222,0.9722222222222222,72.0
McLaren MP4-12C Coupe 2012,1.0,0.9659090909090909,0.9826589595375723,88.0
Mercedes-Benz 300-Class Convertible 1993,0.9595959595959596,0.9895833333333334,0.9743589743589745,96.0
Mercedes-Benz C-Class Sedan 2012,0.9770114942528736,0.9340659340659341,0.9550561797752809,91.0
Mercedes-Benz SL-Class Coupe 2009,0.9333333333333333,0.958904109589041,0.9459459459459458,73.0
Mercedes-Benz E-Class Sedan 2012,0.9529411764705882,0.9310344827586207,0.941860465116279,87.0
Mercedes-Benz S-Class Sedan 2012,0.9659090909090909,0.9550561797752809,0.96045197740113,89.0
Mercedes-Benz Sprinter Van 2012,0.9411764705882353,0.975609756097561,0.9580838323353293,82.0
Mitsubishi Lancer Sedan 2012,0.9770114942528736,0.8947368421052632,0.9340659340659342,95.0
Nissan Leaf Hatchback 2012,0.9294117647058824,0.9404761904761905,0.9349112426035503,84.0
Nissan NV Passenger Van 2012,1.0,0.987012987012987,0.9934640522875817,77.0
Nissan Juke Hatchback 2012,0.9761904761904762,0.9318181818181818,0.9534883720930233,88.0
Nissan 240SX Coupe 1998,0.967032967032967,0.9565217391304348,0.9617486338797815,92.0
Plymouth Neon Coupe 1999,0.9770114942528736,0.9659090909090909,0.9714285714285714,88.0
Porsche Panamera Sedan 2012,0.9010989010989011,0.9425287356321839,0.9213483146067416,87.0
Ram C/V Cargo Van Minivan 2012,1.0,0.975609756097561,0.9876543209876543,82.0
